,arch,beta1,beta2,expert,dropout,end_idx,pad_idx,val_out,optimizer,scheduler,start_idx,beam_width,hidden_size,output_size,bidirectional,learning_rate,local_run_dir,decoder_layers,embedding_size,encoder_layers,label_smoothing,teacher_forcing,max_source_length,max_target_length,source_vocab_size,target_vocab_size,source_encoder_cls,features_vocab_size,features_encoder_cls,source_attention_heads,features_attention_heads,scheduler_kwargs/end_factor,scheduler_kwargs/start_factor,scheduler_kwargs/warmup_steps,scheduler_kwargs/min_learning_rate,scheduler_kwargs/total_decay_steps,scheduler_kwargs/reduceonplateau_mode,scheduler_kwargs/reduceonplateau_factor,scheduler_kwargs/check_val_every_n_epoch,scheduler_kwargs/reduceonplateau_patience,_step,lr-Adam,_runtime,val_loss,train_loss,trainer/global_step,epoch,_timestamp,val_accuracy.max,Name
2,decoder_only_transformer,0.9,0.98,,0.3,3,1,validation_preds,adam,warmupinvsqrt,2,1,1024,43,True,0.001,/rc_scratch/adwi9965/decoder-only-results/dan.trn/sig-2023-decoder-only-8-layers-4-heads/version_0,8,256,2,0.1,True,128,128,71,43,,28,,4,1,1,0.3333333333333333,4000,0,5,loss,0.1,16,10,1649,0.000447493366309618,4075.680524587631,1.0484488010406494,0.6930252909660339,19999,799,1704218008.5576966,0.8899999856948853,dan.trn
3,decoder_only_transformer,0.9,0.98,,0.3,3,1,validation_preds,adam,warmupinvsqrt,2,1,1024,45,True,0.001,/rc_scratch/adwi9965/decoder-only-results/bel.trn/sig-2023-decoder-only-8-layers-4-heads/version_0,8,256,2,0.1,True,128,128,93,45,,54,,4,1,1,0.3333333333333333,4000,0,5,loss,0.1,16,10,1649,0.000447493366309618,3763.2849848270416,2.870828151702881,0.7008726000785828,19999,799,1704217648.7792678,0.36800000071525574,bel.trn
4,decoder_only_transformer,0.9,0.98,,0.3,3,1,validation_preds,adam,warmupinvsqrt,2,1,1024,43,True,0.001,/rc_scratch/adwi9965/decoder-only-results/afb.trn/sig-2023-decoder-only-8-layers-4-heads/version_0,8,256,2,0.1,True,128,128,79,43,,31,,4,1,1,0.3333333333333333,4000,0,5,loss,0.1,16,10,1649,0.000447493366309618,3541.655403614044,1.564241647720337,0.6962130665779114,19999,799,1704217427.1496775,0.75,afb.trn
5,decoder_only_transformer,0.9,0.98,,0.3,3,1,validation_preds,adam,warmupinvsqrt,2,1,1024,47,True,0.001,/rc_scratch/adwi9965/decoder-only-results/arz.trn/sig-2023-decoder-only-8-layers-4-heads/version_0,8,256,2,0.1,True,128,128,74,47,,27,,4,1,1,0.3333333333333333,4000,0,5,loss,0.1,16,10,1649,0.000447493366309618,3611.605417251587,0.9442644119262696,0.70224529504776,19999,799,1704217497.0996013,0.8560000061988831,arz.trn
7,decoder_only_transformer,0.9,0.98,,0.3,3,1,validation_preds,adam,warmupinvsqrt,2,1,1024,43,True,0.001,/rc_scratch/adwi9965/decoder-only-results/sig-2023-decoder-only-8-layers-4-heads/version_23,8,256,2,0.1,True,128,128,104,43,,62,,4,1,1,0.3333333333333333,4000,0,5,loss,0.1,16,10,1649,0.000447493366309618,4978.354458332062,4.900764465332031,0.6902866959571838,19999,799,1703036936.7377903,0.17499999701976776,tur.trn
8,decoder_only_transformer,0.9,0.98,,0.3,3,1,validation_preds,adam,warmupinvsqrt,2,1,1024,33,True,0.001,/rc_scratch/adwi9965/decoder-only-results/sig-2023-decoder-only-8-layers-4-heads/version_22,8,256,2,0.1,True,128,128,69,33,,37,,4,1,1,0.3333333333333333,4000,0,5,loss,0.1,16,10,1649,0.000447493366309618,3902.8887736797337,3.811311006546021,0.6598730087280273,19999,799,1703035619.8706276,0.15199999511241913,sqi.trn
9,decoder_only_transformer,0.9,0.98,,0.3,3,1,validation_preds,adam,warmupinvsqrt,2,1,1024,29,True,0.001,/rc_scratch/adwi9965/decoder-only-results/sig-2023-decoder-only-8-layers-4-heads/version_21,8,256,2,0.1,True,128,128,85,29,,57,,4,1,1,0.3333333333333333,4000,0,5,loss,0.1,16,10,1649,0.000447493366309618,4526.31426358223,2.2039902210235596,0.6430439352989197,19999,799,1703035940.9198196,0.2080000042915344,swa.trn
10,decoder_only_transformer,0.9,0.98,,0.3,3,1,validation_preds,adam,warmupinvsqrt,2,1,1024,34,True,0.001,/rc_scratch/adwi9965/decoder-only-results/sig-2023-decoder-only-8-layers-4-heads/version_20,8,256,2,0.1,True,128,128,69,34,,36,,4,1,1,0.3333333333333333,4000,0,5,loss,0.1,16,10,1649,0.000447493366309618,3901.623360395431,3.794538736343384,0.6665552258491516,19999,799,1703034715.5572283,0.1889999955892563,sme.trn
11,decoder_only_transformer,0.9,0.98,,0.3,3,1,validation_preds,adam,warmupinvsqrt,2,1,1024,37,True,0.001,/rc_scratch/adwi9965/decoder-only-results/sig-2023-decoder-only-8-layers-4-heads/version_19,8,256,2,0.1,True,128,128,80,37,,50,,4,1,1,0.3333333333333333,4000,0,5,loss,0.1,16,10,1649,0.000447493366309618,4351.340791463852,4.623809814453125,0.6737834811210632,19999,799,1703035046.8642066,0.09600000083446504,spa.trn
12,decoder_only_transformer,0.9,0.98,,0.3,3,1,validation_preds,adam,warmupinvsqrt,2,1,1024,37,True,0.001,/rc_scratch/adwi9965/decoder-only-results/sig-2023-decoder-only-8-layers-4-heads/version_18,8,256,2,0.1,True,128,128,58,37,,23,,4,1,1,0.3333333333333333,4000,0,5,loss,0.1,16,10,1649,0.000447493366309618,3692.707680225372,3.0100960731506348,0.6771357655525208,19999,799,1703034295.9623165,0.33799999952316284,nav.trn
13,decoder_only_transformer,0.9,0.98,,0.3,3,1,validation_preds,adam,warmupinvsqrt,2,1,1024,63,True,0.001,/rc_scratch/adwi9965/decoder-only-results/sig-2023-decoder-only-8-layers-4-heads/version_17,8,256,2,0.1,True,128,128,117,63,,60,,4,1,1,0.3333333333333333,4000,0,5,loss,0.1,16,10,1649,0.000447493366309618,4455.480963230133,4.979287147521973,0.7367433309555054,19999,799,1703031934.5083573,0.12099999934434892,san.trn
14,decoder_only_transformer,0.9,0.98,,0.3,3,1,validation_preds,adam,warmupinvsqrt,2,1,1024,42,True,0.001,/rc_scratch/adwi9965/decoder-only-results/sig-2023-decoder-only-8-layers-4-heads/version_16,8,256,2,0.1,True,128,128,114,42,,72,,4,1,1,0.3333333333333333,4000,0,5,loss,0.1,16,10,1649,0.000447493366309618,4656.778086185455,4.281846046447754,0.6921247839927673,19999,799,1703031688.8033462,0.13600000739097595,rus.trn
15,decoder_only_transformer,0.9,0.98,,0.3,3,1,validation_preds,adam,warmupinvsqrt,2,1,1024,44,True,0.001,/rc_scratch/adwi9965/decoder-only-results/sig-2023-decoder-only-8-layers-4-heads/version_15,8,256,2,0.1,True,128,128,101,44,,58,,4,1,1,0.3333333333333333,4000,0,5,loss,0.1,16,10,1649,0.000447493366309618,3886.156881093979,4.909467697143555,0.6940737366676331,19999,799,1703030794.464802,0.07800000160932541,hye.trn
16,decoder_only_transformer,0.9,0.98,,0.3,3,1,validation_preds,adam,warmupinvsqrt,2,1,1024,42,True,0.001,/rc_scratch/adwi9965/decoder-only-results/sig-2023-decoder-only-8-layers-4-heads/version_14,8,256,2,0.1,True,128,128,74,42,,33,,4,1,1,0.3333333333333333,4000,0,5,loss,0.1,16,10,1649,0.000447493366309618,4022.457577228546,3.8151955604553223,0.6896765828132629,19999,799,1703030570.769806,0.23399999737739563,mkd.trn
17,decoder_only_transformer,0.9,0.98,,0.3,3,1,validation_preds,adam,warmupinvsqrt,2,1,1024,36,True,0.001,/rc_scratch/adwi9965/decoder-only-results/sig-2023-decoder-only-8-layers-4-heads/version_14,8,256,2,0.1,True,128,128,66,36,,36,,4,1,1,0.3333333333333333,4000,0,5,loss,0.1,16,10,1649,0.000447493366309618,3425.7808067798615,0.873444676399231,0.6702927947044373,19999,799,1703029974.083989,0.9010000228881836,klr.trn
18,decoder_only_transformer,0.9,0.98,,0.3,3,1,validation_preds,adam,warmupinvsqrt,2,1,1024,38,True,0.001,/rc_scratch/adwi9965/decoder-only-results/sig-2023-decoder-only-8-layers-4-heads/version_13,8,256,2,0.1,True,128,128,88,38,,51,,4,1,1,0.3333333333333333,4000,0,5,loss,0.1,16,10,1649,0.000447493366309618,3644.158672809601,4.810398101806641,0.677097737789154,19999,799,1703027457.8739295,0.04399999976158142,kat.trn
19,decoder_only_transformer,0.9,0.98,,0.3,3,1,validation_preds,adam,warmupinvsqrt,2,1,1024,945,True,0.001,/rc_scratch/adwi9965/decoder-only-results/sig-2023-decoder-only-8-layers-4-heads/version_12,8,256,2,0.1,True,128,128,959,945,,24,,4,1,1,0.3333333333333333,4000,0,5,loss,0.1,16,10,1649,0.000447493366309618,3401.1804287433624,5.938794136047363,1.022286057472229,19999,799,1703026523.0605056,0.0820000022649765,jap.trn
20,decoder_only_transformer,0.9,0.98,,0.3,3,1,validation_preds,adam,warmupinvsqrt,2,1,1024,31,True,0.001,/rc_scratch/adwi9965/decoder-only-results/sig-2023-decoder-only-8-layers-4-heads/version_11,8,256,2,0.1,True,128,128,50,31,,24,,4,1,1,0.3333333333333333,4000,0,5,loss,0.1,16,10,1649,0.000447493366309618,3974.1242396831512,3.704639434814453,0.6532906293869019,19999,799,1703027006.3550768,0.16200000047683716,ita.trn
21,decoder_only_transformer,0.9,0.98,,0.3,3,1,validation_preds,adam,warmupinvsqrt,2,1,1024,52,True,0.001,/rc_scratch/adwi9965/decoder-only-results/sig-2023-decoder-only-8-layers-4-heads/version_10,8,256,2,0.1,True,128,128,126,52,,74,,4,1,1,0.3333333333333333,4000,0,5,loss,0.1,16,10,1649,0.000447493366309618,3988.550536870957,4.547417640686035,0.7137290239334106,19999,799,1703026870.1467078,0.15800000727176666,hun.trn
22,decoder_only_transformer,0.9,0.98,,0.3,3,1,validation_preds,adam,warmupinvsqrt,2,1,1024,46,True,0.001,/rc_scratch/adwi9965/decoder-only-results/sig-2023-decoder-only-8-layers-4-heads/version_9,8,256,2,0.1,True,128,128,76,46,,32,,4,1,1,0.3333333333333333,4000,0,5,loss,0.1,16,10,1649,0.000447493366309618,3805.109811782837,1.8801548480987549,0.6995624303817749,19999,799,1703026508.2788448,0.6100000143051147,heb.trn
23,decoder_only_transformer,0.9,0.98,,0.3,3,1,validation_preds,adam,warmupinvsqrt,2,1,1024,31,True,0.001,/rc_scratch/adwi9965/decoder-only-results/sig-2023-decoder-only-8-layers-4-heads/version_8,8,256,2,0.1,True,128,128,73,31,,42,,4,1,1,0.3333333333333333,4000,0,5,loss,0.1,16,10,1649,0.000447493366309618,3223.494039297104,2.075963020324707,0.6549485325813293,19999,799,1703022649.7014062,0.5130000114440918,heb_unvoc.trn
24,decoder_only_transformer,0.9,0.98,,0.3,3,1,validation_preds,adam,warmupinvsqrt,2,1,1024,104,True,0.001,/rc_scratch/adwi9965/decoder-only-results/sig-2023-decoder-only-8-layers-4-heads/version_7,8,256,2,0.1,True,128,128,122,104,,39,,4,1,1,0.3333333333333333,4000,0,5,loss,0.1,16,10,1649,0.000447493366309618,3588.395496845246,5.518278121948242,0.7893933653831482,19999,799,1703022864.2146895,0.04600000008940697,grc.trn
25,decoder_only_transformer,0.9,0.98,,0.3,3,1,validation_preds,adam,warmupinvsqrt,2,1,1024,47,True,0.001,/rc_scratch/adwi9965/decoder-only-results/sig-2023-decoder-only-8-layers-4-heads/version_6,8,256,2,0.1,True,128,128,66,47,,24,,4,1,1,0.3333333333333333,4000,0,5,loss,0.1,16,10,1649,0.000447493366309618,3843.485235929489,4.951613903045654,0.7020893096923828,19999,799,1703022998.319047,0.1720000058412552,fra.trn
26,decoder_only_transformer,0.9,0.98,,0.3,3,1,validation_preds,adam,warmupinvsqrt,2,1,1024,58,True,0.001,/rc_scratch/adwi9965/decoder-only-results/sig-2023-decoder-only-8-layers-4-heads/version_5,8,256,2,0.1,True,128,128,67,58,,10,,4,1,1,0.3333333333333333,4000,0,5,loss,0.1,16,10,1649,0.000447493366309618,3959.873034715653,0.9084808826446532,0.7267027497291565,19999,799,1703023090.6707296,0.9539999961853028,eng.trn
27,decoder_only_transformer,0.9,0.98,,0.3,3,1,validation_preds,adam,warmupinvsqrt,2,1,1024,40,True,0.001,/rc_scratch/adwi9965/decoder-only-results/sig-2023-decoder-only-8-layers-4-heads/version_5,8,256,2,0.1,True,128,128,128,40,,89,,4,1,1,0.3333333333333333,4000,0,5,loss,0.1,16,10,1649,0.000447493366309618,4645.836379289627,4.717267990112305,0.6847273707389832,19999,799,1703023776.6166854,0.006000000052154064,fin.trn
28,decoder_only_transformer,0.9,0.98,,0.3,3,1,validation_preds,adam,warmupinvsqrt,2,1,1024,65,True,0.001,/rc_scratch/adwi9965/decoder-only-results/sig-2023-decoder-only-8-layers-4-heads/version_4,8,256,2,0.1,True,128,128,92,65,,27,,4,1,1,0.3333333333333333,4000,0,5,loss,0.1,16,10,1649,0.000447493366309618,4376.628289937973,4.106452465057373,0.7404311299324036,19999,799,1703019384.677547,0.16699999570846558,deu.trn

